# #Freq. (Hz.), dB Mag., Phase (deg.)
1.000000000000000048e-04,1.114029287142734148e+02,-1.803183382232284941e+02
1.016265089392995232e-04,1.111226437774255089e+02,-1.803235159043662179e+02
1.032794731918951437e-04,1.108423586878719647e+02,-1.803287777950728810e+02
1.049593230558227707e-04,1.105620734406051184e+02,-1.803341252647331316e+02
1.066664958279538747e-04,1.102817880304532423e+02,-1.803395597049903643e+02
1.084014359178331018e-04,1.100015024520749165e+02,-1.803450825301080442e+02
1.101645949633656949e-04,1.097212166999536009e+02,-1.803506951773368030e+02
1.119564319483878348e-04,1.094409307683919650e+02,-1.803563991072875297e+02
1.137774133221491354e-04,1.091606446515057200e+02,-1.803621958043106304e+02
1.156280131207375404e-04,1.088803583432177646e+02,-1.803680867768810856e+02
1.175087130904807617e-04,1.086000718372516189e+02,-1.803740735579901298e+02
1.194200028133532475e-04,1.083197851271251011e+02,-1.803801577055428709e+02
1.213623798344240533e-04,1.080394982061434632e+02,-1.803863408027626178e+02
1.233363497913775981e-04,1.077592110673923571e+02,-1.803926244586016594e+02
1.253424265461399551e-04,1.074789237037308851e+02,-1.803990103081585801e+02
1.273811323186478520e-04,1.071986361077838694e+02,-1.804055000131022553e+02
1.294529978227916035e-04,1.069183482719343772e+02,-1.804120952621030938e+02
1.315585624045703867e-04,1.066380601883157766e+02,-1.804187977712705901e+02
1.336983741824946607e-04,1.063577718488033952e+02,-1.804256092845985791e+02
1.358729901902709127e-04,1.060774832450062775e+02,-1.804325315744172542e+02
1.380829765218092263e-04,1.057971943682583174e+02,-1.804395664418523779e+02
1.403289084785873094e-04,1.055169052096092486e+02,-1.804467157172925056e+02
1.426113707194128302e-04,1.052366157598154217e+02,-1.804539812608629461e+02
1.449309574126216591e-04,1.049563260093300556e+02,-1.804613649629079646e+02
1.472882723907501770e-04,1.046760359482934319e+02,-1.804688687444802326e+02
1.496839293077255632e-04,1.043957455665224927e+02,-1.804764945578388051e+02
1.521185517986104894e-04,1.041154548535004096e+02,-1.804842443869542592e+02
