t,u,y
0,10.858329,-0.70808125
0.002,11.528184,-0.12406483
0.004,15.596896,2.3636996
0.006,17.011261,0.83294205
0.008,21.525543,3.0381954
0.01,20.596785,1.5231108
0.012,26.048701,1.7011788
0.014,26.016416,1.7318685
0.016,30.53826,0.32379663
0.018,31.274888,3.7039017
0.02,32.438582,2.9632028
0.022,38.298867,4.160817
0.024,38.290116,3.0852694
0.026,40.802246,4.3336105
0.028,43.124251,3.2884721
0.03,44.308526,7.3147037
0.032,47.126511,6.8156774
0.034,51.249007,7.1697106
0.036,51.815606,9.4765358
0.038,54.986708,8.5396947
0.04,56.444992,9.2527325
0.042,60.087398,11.667326
0.044,58.233599,12.145547
0.046,62.342436,11.428995
0.048,65.725087,12.955066
0.05,66.959547,16.031607
0.052,67.988843,15.009199
0.054,70.449111,15.631336
0.056,73.744641,16.561962
0.058,77.434497,17.48769
0.06,76.316049,17.535197
0.062,77.941812,19.067615
0.064,76.87606,19.600656
0.066,81.125017,20.386151
0.068,81.26985,24.790583
0.07,81.798711,23.786934
0.072,83.995974,23.561867
0.074,85.911606,24.952335
0.076,86.736663,26.798663
0.078,88.402586,27.111964
0.08,90.567865,26.239641
0.082,91.026635,26.724016
0.084,92.502561,29.573504
0.086,93.467024,32.31371
0.088,93.022573,32.126773
0.09,94.675581,31.626699
0.092,95.994531,32.201872
0.094,95.13951,33.135728
0.096,95.783152,34.830538
0.098,94.975988,36.154234
0.1,97.96015,39.188044
0.102,97.339596,39.214168
0.104,98.789285,40.751802
0.106,98.718174,39.912112
0.108,98.35625,40.368913
0.11,100.23146,42.464619
0.112,99.332963,43.8504
0.114,100.39471,44.679064
0.116,97.429886,46.778542
0.118,99.876846,45.747037
0.12,99.543377,46.950289
0.122,99.291661,47.269477
0.124,99.513556,49.604179
0.126,99.443034,49.017148
0.128,98.402185,50.760556
0.13,98.45363,50.99067
0.132,98.185733,49.757754
0.134,97.782839,53.883619
0.136,97.697037,54.259448
0.138,96.268762,52.319445
0.14,96.348793,55.34869
0.142,93.518474,55.071097
0.144,94.264873,55.777673
0.146,93.196716,56.272371
0.148,93.809485,57.573874
0.15,94.473396,58.586983
0.152,91.494578,56.728243
0.154,90.358689,58.623317
0.156,86.7713,58.763178
0.158,86.281312,60.864434
0.16,85.04974,57.994987
0.162,84.482334,59.480408
0.164,83.298165,59.53716
0.166,81.985997,60.323112
0.168,80.184892,61.552206
0.17,78.33247,60.866938
0.172,77.583912,61.773547
0.174,76.334874,61.30774
0.176,75.815006,61.657398
0.178,72.465401,62.375969
0.18,69.843555,64.243742
0.182,67.968567,64.887595
0.184,66.389022,64.01108
0.186,66.981606,61.47529
0.188,63.061942,62.511723
0.19,59.941631,64.925176
0.192,59.23473,64.18924
0.194,56.67774,60.718138
0.196,56.354975,62.280085
0.198,53.060061,61.537333
0.2,50.240194,63.535929
0.202,48.648493,62.933014
0.204,45.431353,60.776684
0.206,44.879162,61.187769
0.208,41.503523,61.15194
0.21,39.168466,61.688825
0.212,37.715213,60.619282
0.214,34.246233,60.091914
0.216,31.530275,59.23747
0.218,29.571399,58.656239
0.22,27.306566,56.86613
0.222,23.896337,59.137813
0.224,24.977717,59.762082
0.226,19.963098,57.626017
0.228,18.373473,57.647763
0.23,15.521585,56.065071
0.232,12.334161,56.123853
0.234,8.5931563,56.115603
0.236,4.7983237,53.825852
0.238,4.5440534,53.606308
0.24,3.7787739,51.192616
0.242,0.18233468,51.162932
0.244,-2.1467979,52.11022
0.246,-5.1256263,51.192149
0.248,-7.2894005,48.337396
0.25,-11.152095,49.072921
0.252,-11.793915,45.537812
0.254,-12.909399,45.514509
0.256,-17.577165,44.484499
0.258,-20.424141,43.674349
0.26,-21.127653,41.482409
0.262,-25.578598,42.392217
0.264,-26.330291,39.739842
0.266,-29.718119,39.339054
0.268,-30.653988,39.808531
0.27,-34.763862,36.075393
0.272,-35.681299,36.356623
0.274,-39.672181,34.698014
0.276,-41.122227,33.843457
0.278,-43.775903,31.835306
0.28,-46.154473,31.974483
0.282,-47.389533,29.952908
0.284,-49.261748,30.846245
0.286,-51.080519,28.845464
0.288,-57.42404,26.640266
0.29,-57.426826,24.592948
0.292,-58.572897,24.468452
0.294,-61.603961,21.875887
0.296,-63.871318,22.34711
0.298,-65.28876,19.538405
0.3,-66.19515,17.738152
0.302,-67.782806,17.299975
0.304,-70.074142,14.60925
0.306,-73.231657,16.226717
0.308,-73.606513,12.952462
0.31,-75.216553,11.941759
0.312,-77.492858,9.1310576
0.314,-79.437426,9.7699166
0.316,-80.942138,6.3748999
0.318,-81.066774,7.98784
0.32,-84.03554,3.4522127
0.322,-85.368615,5.1243951
0.324,-84.532445,3.6187521
0.326,-87.502667,-0.011277747
0.328,-89.222251,-1.758445
0.33,-89.48625,-1.7121075
0.332,-92.170105,-3.9692986
0.334,-90.357027,-5.5184273
0.336,-92.182067,-6.110131
0.338,-94.469964,-8.0670785
0.34,-93.627951,-8.9907982
0.342,-97.169118,-12.038283
0.344,-97.744495,-11.718196
0.346,-98.065451,-14.313612
0.348,-96.629932,-16.40496
0.35,-95.771092,-16.059944
0.352,-98.629549,-17.828971
0.354,-99.335014,-19.994817
0.356,-99.533382,-20.377778
0.358,-99.82139,-20.361727
0.36,-99.709118,-23.677908
0.362,-100.22805,-23.524574
0.364,-98.993428,-25.338335
0.366,-100.04395,-26.955275
0.368,-98.324324,-27.322194
0.37,-99.624504,-28.276616
0.372,-100.1396,-28.205945
0.374,-99.501343,-31.879041
0.376,-97.601636,-31.492145
0.378,-99.517923,-33.438895
0.38,-97.813287,-34.228182
0.382,-96.955131,-33.235386
0.384,-97.946588,-36.816455
0.386,-96.847195,-36.794787
0.388,-96.136602,-39.232431
0.39,-96.387131,-38.483947
0.392,-95.396189,-39.054151
0.394,-94.617365,-40.357712
0.396,-93.540188,-42.291294
0.398,-91.853818,-44.396429
0.4,-91.271858,-41.382462
0.402,-89.655023,-41.963656
0.404,-90.217174,-46.378295
0.406,-88.118666,-44.043963
0.408,-87.121852,-45.440289
